name,year,km,price
"
                        Soueast DX7                    ",2019,   98779 Kms. · Guayaquil                 ,"
                         17.800
                        "
"
                        Nissan X-Trail                    ",2015,   127723 Kms. · Guayaquil                 ,"
                         22.500
                        "
"
                        Chevrolet Sail                    ",2018,   106632 Kms. · Guayaquil                 ,"
                         13.200
                        "
"
                        Toyota Fortuner 2.7                    ",2017,   1 Kms. · Guayaquil                 ,"
                         38.800
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2013,   95153 Kms. · Guayaquil                 ,"
                         13.200
                        "
"
                        Ford Explorer                    ",2012,   1 Kms. · Guayaquil                 ,"
                         23.800
                        "
"
                        Ford F150                    ",2017,   1 Kms. · Guayaquil                 ,"
                         38.500
                        "
"
                        Ford Explorer                    ",2018,   1 Kms. · Guayaquil                 ,"
                         57.000
                        "
"
                        Toyota Hilux                    ",2020,   134624 Kms. · Guayaquil                 ,"
                         34.800
                        "
"
                        Kia Carnival                    ",2018,   109403 Kms. · Guayaquil                 ,"
                         30.800
                        "
"
                        Great Wall Hover H5 Elite                    ",2012,   151502 Kms. · Guayaquil                 ,"
                         12.500
                        "
"
                        Ford Explorer                    ",2013,   181152 Kms. · Guayaquil                 ,"
                         28.800
                        "
"
                        Hyundai Santa Fe 4x2                    ",2013,   145843 Kms. · Cuenca                 ,"
                         22.600
                        "
"
                        Hyundai i10                    ",2012,   142413 Kms. · Cuenca                 ,"
                         9.800
                        "
"
                        JAC HFC 1037DEV                    ",2019,   79942 Kms. · Cuenca                 ,"
                         20.600
                        "
"
                        Citroen Berlingo                    ",2020,   50812 Kms. · Cuenca                 ,"
                         20.900
                        "
"
                        Toyota Fortuner 2.7                    ",2022,   51900 Kms. · Cuenca                 ,"
                         51.900
                        "
"
                        Peugeot 301                    ",2020,   23255 Kms. · Cuenca                 ,"
                         16.600
                        "
"
                        Mahindra Pick UP CD                    ",2013,   179594 Kms. · Cuenca                 ,"
                         13.900
                        "
"
                        Toyota Hilux CD 4x2                    ",2018,   42988 Kms. · Cuenca                 ,"
                         28.900
                        "
"
                        Changan CS 15                    ",2022,   16362 Kms. · Cuenca                 ,"
                         16.400
                        "
"
                        Chevrolet Aveo Family                    ",2019,   64513 Kms. · Cuenca                 ,"
                         12.900
                        "
"
                        Chevrolet D-Max 4x4 CD                    ",2014,   189045 Kms. · Cuenca                 ,"
                         25.900
                        "
"
                        Toyota 4 Runner                    ",2004,   241871 Kms. · Cuenca                 ,"
                         17.300
                        "
"
                        Chevrolet Aveo Family                    ",2017,   48479 Kms. · Cuenca                 ,"
                         11.600
                        "
"
                        Chevrolet Silverado                    ",2002,   208264 Kms. · Cuenca                 ,"
                         11.400
                        "
"
                        Toyota Fortuner 2.7                    ",2013,   243850 Kms. · Cuenca                 ,"
                         20.300
                        "
"
                        Toyota Land Cruiser Prado GX                    ",2009,   171392 Kms. · Cuenca                 ,"
                         21.900
                        "
"
                        Hyundai VENUE                    ",2020,   52566 Kms. · Cuenca                 ,"
                         22.900
                        "
"
                        Toyota Fortuner 2.7                    ",2011,   77958 Kms. · Cuenca                 ,"
                         29.800
                        "
"
                        Ford Edge ST                    ",2018,   51116 Kms. · Cuenca                 ,"
                         37.900
                        "
"
                        Peugeot 208 Griffe                    ",2021,   16753 Kms. · Cuenca                 ,"
                         18.700
                        "
"
                        Chevrolet ONIX                    ",2022,   9140 Kms. · Cuenca                 ,"
                         18.600
                        "
"
                        Suzuki S-Cross                    ",2018,   74404 Kms. · Cuenca                 ,"
                         18.600
                        "
"
                        Volvo S60                    ",2008,   103849 Kms. · Cuenca                 ,"
                         16.900
                        "
"
                        Honda CR-V                    ",2012,   200000 Kms. · Cuenca                 ,"
                         18.300
                        "
"
                        Chevrolet DMAX CRDI PREMIER                    ",2018,   115000 Kms. · Cuenca                 ,"
                         31.800
                        "
"
                        Great Wall Wingle 7 Diesel                    ",2022,   34000 Kms. · Cuenca                 ,"
                         26.900
                        "
"
                        Chevrolet SAIL LTZ                    ",2019,   13466 Kms. · Cuenca                 ,"
                         16.300
                        "
"
                        Volkswagen Tiguan Diesel                    ",2018,   91099 Kms. · Cuenca                 ,"
                         31.600
                        "
"
                        Chevrolet ONIX LTZ TURBO                    ",2022,   9140 Kms. · Cuenca                 ,"
                         18.600
                        "
"
                        Kia Sorento                    ",2020,   20564 Kms. · Cuenca                 ,"
                         32.900
                        "
"
                        Chevrolet Grand Vitara 3P                    ",2008,   165846 Kms. · Cuenca                 ,"
                         11.900
                        "
"
                        Hyundai Santa Fe                    ",2019,   24 Kms. · Cuenca                 ,"
                         33.900
                        "
"
                        Mitsubishi L200                    ",2010,   216777 Kms. · Cuenca                 ,"
                         19.900
                        "
"
                        Kia Sportage                    ",2019,   45593 Kms. · Cuenca                 ,"
                         24.300
                        "
"
                        Nissan X-Trail Classic                    ",2015,   115256 Kms. · Cuenca                 ,"
                         24.900
                        "
"
                        Mazda New BT-50                    ",2018,   105219 Kms. · Guayaquil                 ,"
                         36.500
                        "
"
                        Ford F150 XLT SC                    ",2018,   87174 Kms. · Guayaquil                 ,"
                         56.800
                        "
"
                        Ford F150 XLT SC                    ",2018,   72776 Kms. · Guayaquil                 ,"
                         56.800
                        "
"
                        Mercedes Benz CLA 250                    ",2017,   55720 Kms. · Guayaquil                 ,"
                         55.000
                        "
"
                        Kia Sportage Active                    ",2014,   150000 Kms. · Guayaquil                 ,"
                         15.500
                        "
"
                        Citroen C-ELYSEE                    ",2018,   89000 Kms. · Guayaquil                 ,"
                         14.900
                        "
"
                        Toyota Fortuner 2.7                    ",2018,   83400 Kms. · Guayaquil                 ,"
                         42.800
                        "
"
                        Chevrolet Captiva Sport                    ",2016,   126 Kms. · Guayaquil                 ,"
                         16.000
                        "
"
                        Chevrolet Sail                    ",2018,   85000 Kms. · Guayaquil                 ,"
                         13.500
                        "
"
                        Chevrolet ONIX LTZ TURBO                    ",2021,   33500 Kms. · Guayaquil                 ,"
                         16.000
                        "
"
                        Porsche Cayenne                    ",2013,   73000 Kms. · Guayaquil                 ,"
                         59.000
                        "
"
                        Ford F150 Lariat                    ",2016,   66043 Kms. · Guayaquil                 ,"
                         57.000
                        "
"
                        JAC T6                    ",2019,   67000 Kms. · Guayaquil                 ,"
                         17.000
                        "
"
                        Suzuki Grand Vitara SZ                    ",2010,   209000 Kms. · Guayaquil                 ,"
                         12.000
                        "
"
                        Nissan Tiida                    ",2012,   176000 Kms. · Guayaquil                 ,"
                         9.852
                        "
"
                        Ford Thunderbird                    ",1980,   128748 Kms. · Guayaquil                 ,"
                         12.500
                        "
"
                        Chevrolet Spark GT                    ",2020,   19150 Kms. · Guayaquil                 ,"
                         13.000
                        "
"
                        Toyota Hilux CD 4x2                    ",2016,   154433 Kms. · Guayaquil                 ,"
                         25.000
                        "
"
                        Mini CooperS                    ",2018,   29782 Kms. · Guayaquil                 ,"
                         43.000
                        "
"
                        Chevrolet Aveo Activo                    ",2011,   160664 Kms. · Guayaquil                 ,"
                         8.500
                        "
"
                        Peugeot 5008                    ",2018,   60000 Kms. · Guayaquil                 ,"
                         37.500
                        "
"
                        Mazda CX-5 Full                    ",2015,   118500 Kms. · Guayaquil                 ,"
                         21.900
                        "
"
                        BMW X6 xDRIVE 35i                    ",2021,   25000 Kms. · Guayaquil                 ,"
                         155.000
                        "
"
                        BMW Active Hybrid 7                    ",2012,   23800 Kms. · Guayaquil                 ,"
                         47.600
                        "
"
                        Audi Q3                    ",2020,   17000 Kms. · Guayaquil                 ,"
                         67.000
                        "
"
                        Hyundai Sonata Hybrid                    ",2015,   141000 Kms. · Guayaquil                 ,"
                         16.900
                        "
"
                        Jeep Wrangler Unlimited Sahara                    ",2016,   115000 Kms. · Guayaquil                 ,"
                         56.000
                        "
"
                        Mercedes Benz A 200                    ",2019,   14512 Kms. · Guayaquil                 ,"
                         63.000
                        "
"
                        Ford F150 XLT Lariat                    ",2018,   63812 Kms. · Guayaquil                 ,"
                         68.000
                        "
"
                        Toyota FJ Cruiser                    ",2014,   147053 Kms. · Guayaquil                 ,"
                         70.000
                        "
"
                        Chevrolet Silverado Z71                    ",2016,   73410 Kms. · Guayaquil                 ,"
                         80.000
                        "
"
                        Great Wall HAVAL H6 SUPREME                    ",2020,   26000 Kms. · Guayaquil                 ,"
                         28.000
                        "
"
                        Mazda CX-3 Full                    ",2018,   128000 Kms. · Guayaquil                 ,"
                         27.000
                        "
"
                        BMW 430i xDrive                    ",2022,   1400 Kms. · Guayaquil                 ,"
                         85.000
                        "
"
                        Toyota Fortuner 2.7                    ",2020,   15000 Kms. · Guayaquil                 ,"
                         48.000
                        "
"
                        Chevrolet Aveo GTI                    ",2008,   63000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Chevrolet Aveo                    ",2008,   63000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Haval H6                    ",2019,   52000 Kms. · Quito                 ,"
                         17.400
                        "
"
                        Volkswagen Passat CC Sport                    ",2016,   69000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Volkswagen PASSAT ADVANCE                    ",2016,   69000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Volkswagen Passat                    ",2016,   69000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Great Wall H5                    ",2016,   77000 Kms. · Quito                 ,"
                         15.600
                        "
"
                        Kia Sportage                    ",2013,   150000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Great Wall H5 Turbo                    ",2016,   77000 Kms. · Quito                 ,"
                         15.600
                        "
"
                        Nissan QASHQAI ADVANCE                    ",2018,   81000 Kms. · Quito                 ,"
                         22.400
                        "
"
                        Fiat Fullback                    ",2017,   98000 Kms. · Quito                 ,"
                         26.900
                        "
