name,year,km,price
"
                        Ford Edge                    ",2014,   141000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Chevrolet Captiva                    ",2021,   10000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Chevrolet D-MAX                    ",2020,   50000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Hyundai Accent                    ",2017,   100000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Chevrolet Corsa Evolution                    ",2007,   372000 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Chevrolet Sail                    ",2014,   76000 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Hyundai Sonata                    ",2017,   80000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Chevrolet Aveo                    ",2019,   60000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Mercedes Benz C350                    ",2008,   71687 Kms. · Quito                 ,"
                         33.500
                        "
"
                        Chevrolet Spark GT                    ",2017,   73000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Kia Picanto R                    ",2012,   141788 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Great Wall Haval H6                    ",2022,   10000 Kms. · Quito                 ,"
                         36.900
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2014,   102000 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Peugeot 206                    ",2009,   170000 Kms. · Quito                 ,"
                         8.800
                        "
"
                        Chevrolet LUV D-MAX                    ",2008,   249000 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Peugeot 301                    ",2020,   33000 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Fiat Fiorino Fire                    ",2009,   240000 Kms. · Quito                 ,"
                         6.900
                        "
"
                        Chevrolet Aveo Family                    ",2017,   70000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Great Wall H6                    ",2018,   90000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Hyundai Santa Fe                    ",2008,   270000 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Kia SPORTAGE R GTI                    ",2020,   26000 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Ford Escape                    ",2013,   94000 Kms. · Quito                 ,"
                         18.900
                        "
"
                        Great Wall H6                    ",2019,   80000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Chevrolet Sail                    ",2019,   80000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Chevrolet Captiva                    ",2020,   27000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Toyota Yaris Sport                    ",2018,   71000 Kms. · Quito                 ,"
                         16.800
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2014,   110000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Mitsubishi Montero 3P                    ",1998,   190000 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Kia Sportage R                    ",2018,   103530 Kms. · Quito                 ,"
                         23.400
                        "
"
                        Soueast DX3                    ",2019,   30000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Ford Explorer XLT                    ",2013,   161000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Nissan X-Trail                    ",2009,   246000 Kms. · Quito                 ,"
                         12.200
                        "
"
                        Haval M4                    ",2020,   29000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Fiat 500 LOUNGE                    ",2020,   14000 Kms. · Quito                 ,"
                         18.500
                        "
"
                        Renault Duster 1.6                    ",2017,   0 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Hyundai Accent                    ",2003,   0 Kms. · Quito                 ,"
                         5.300
                        "
"
                        Suzuki LJ 80                    ",1978,   140000 Kms. · Quito                 ,"
                         4.900
                        "
"
                        Mitsubishi Montero 5P                    ",2008,   190000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Nissan Pathfinder                    ",2018,   40245 Kms. · Quito                 ,"
                         39.900
                        "
"
                        Mazda CX-3                    ",2021,   1700 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Mitsubishi Montero Sport                    ",2007,   1980001 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Chevrolet Spark GT                    ",2019,   49300 Kms. · Quito                 ,"
                         12.100
                        "
"
                        Hyundai Sonata Hybrid                    ",2015,   71139 Kms. · Quito                 ,"
                         17.400
                        "
"
                        Kia Cerato Forte                    ",2017,   79251 Kms. · Quito                 ,"
                         15.200
                        "
"
                        Chevrolet JOY                    ",2022,   3000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Chevrolet D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL                    ",2019,   82000 Kms. · Quito                 ,"
                         31.500
                        "
"
                        Ford Ecosport                    ",2015,   84000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        DongFeng Glory 560                    ",2022,   27000 Kms. · Quito                 ,"
                         17.900
                        "
"
                        Ford Sport Track                    ",2008,   200000 Kms. · Quito                 ,"
                         12.600
                        "
"
                        Kia Rio                    ",2018,   50000 Kms. · Quito                 ,"
                         17.900
                        "
"
                        Kia Sportage R                    ",2021,   16700 Kms. · Quito                 ,"
                         26.600
                        "
"
                        Kia Optima                    ",2019,   10000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Honda CR-V                    ",2018,   17000 Kms. · Quito                 ,"
                         37.900
                        "
"
                        Volkswagen Jetta                    ",2011,   137000 Kms. · Quito                 ,"
                         12.990
                        "
"
                        Ford Explorer                    ",2015,   102000 Kms. · Quito                 ,"
                         32.500
                        "
"
                        Ford Territory                    ",2022,   12000 Kms. · Quito                 ,"
                         34.500
                        "
"
                        Hyundai Santa Fe                    ",2013,   170000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        BMW X6 Hibrido                    ",2010,   90000 Kms. · Quito                 ,"
                         41.000
                        "
"
                        Zotye T600                    ",2017,   64000 Kms. · Quito                 ,"
                         15.500
                        "
"
                        Toyota Land Cruiser Prado GX                    ",2005,   216000 Kms. · Quito                 ,"
                         14.200
                        "
"
                        Chevrolet N300                    ",2012,   140000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Chevrolet Sail                    ",2016,   97000 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Hyundai Azera                    ",2014,   115000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Great Wall WINGLE 7 2.0 CD 4X2 DIESEL                    ",2020,   71000 Kms. · Quito                 ,"
                         22.500
                        "
"
                        Kia Rio Xcite                    ",2011,   180000 Kms. · Quito                 ,"
                         9.400
                        "
"
                        Volkswagen Tiguan                    ",2018,   45000 Kms. · Quito                 ,"
                         34.900
                        "
"
                        Chevrolet Captiva                    ",2020,   36663 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Chevrolet Captiva Premier                    ",2020,   36663 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Chevrolet Captiva Limited                    ",2020,   36663 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Chevrolet Captiva Premier                    ",2021,   18000 Kms. · Quito                 ,"
                         23.500
                        "
"
                        Nissan X-Trail                    ",2017,   66970 Kms. · Quito                 ,"
                         26.800
                        "
"
                        Mazda CX-9                    ",2020,   9900 Kms. · Quito                 ,"
                         66.000
                        "
"
                        Hyundai TUCSON TL                    ",2020,   26000 Kms. · Quito                 ,"
                         28.900
                        "
"
                        Soueast DX3                    ",2020,   55087 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Ford Edge                    ",2014,   94000 Kms. · Quito                 ,"
                         22.800
                        "
"
                        Hyundai Ioniq Hybrid                    ",2018,   65958 Kms. · Quito                 ,"
                         17.800
                        "
"
                        Honda CR-V                    ",2006,   303968 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Chevrolet Esteem                    ",1997,   170290 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Skoda Octavia                    ",2008,   165112 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Kia Optima                    ",2017,   76948 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Hyundai Tucson                    ",2009,   234753 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Chevrolet Tahoe                    ",2008,   118000 Kms. · Quito                 ,"
                         24.500
                        "
"
                        Faw D60                    ",2018,   61500 Kms. · Quito                 ,"
                         12.400
                        "
"
                        Chevrolet Captiva Sport                    ",2015,   107000 Kms. · Quito                 ,"
                         15.400
                        "
"
                        Fiat Palio                    ",2006,   243000 Kms. · Quito                 ,"
                         7.500
                        "
"
                        Chevrolet Grand Vitara SZ                    ",2019,   108000 Kms. · Quito                 ,"
                         19.500
                        "
"
                        Jetour X70 I MT 1.5T                    ",2023,   10000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Ford Ranger CD                    ",2014,   114000 Kms. · Quito                 ,"
                         23.800
                        "
"
                        Mazda BT-50 CD ACTION 2.6                    ",2008,   279756 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Chevrolet ONIX                    ",2022,   5000 Kms. · Quito                 ,"
                         18.900
                        "
"
                        Chevrolet Grand Vitara 3P                    ",2006,   297000 Kms. · Quito                 ,"
                         9.300
                        "
"
                        Chevrolet Vitara 3P                    ",2013,   205000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Chevrolet Sail                    ",2012,   146000 Kms. · Quito                 ,"
                         9.300
                        "
"
                        Renault Logan                    ",2008,   198000 Kms. · Quito                 ,"
                         6.600
                        "
"
                        Kia Sportage Active                    ",2013,   155000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Chevrolet Cruze                    ",2018,   71270 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Toyota Yaris                    ",2020,   45641 Kms. · Quito                 ,"
                         18.800
                        "
"
                        Toyota Yaris Sport                    ",2020,   45641 Kms. · Quito                 ,"
                         18.800
                        "
"
                        Chery Tiggo 7                    ",2022,   7287 Kms. · Quito                 ,"
                         27.300
                        "
"
                        Kia Carnival                    ",2016,   91200 Kms. · Quito                 ,"
                         26.800
                        "
"
                        Ford Escape                    ",2015,   90000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Great Wall H6                    ",2018,   75591 Kms. · Quito                 ,"
                         17.400
                        "
"
                        Chevrolet Captiva                    ",2022,   2000 Kms. · Quito                 ,"
                         25.600
                        "
"
                        Kia SPORTAGE R GTI                    ",2019,   44946 Kms. · Quito                 ,"
                         30.900
                        "
"
                        Chevrolet Grand Vitara SZ 2.4                    ",2011,   141600 Kms. · Quito                 ,"
                         13.700
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2011,   109300 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Toyota Fortuner 2.7                    ",2011,   154494 Kms. · Quito                 ,"
                         23.700
                        "
"
                        Mercedes Benz 300E                    ",1990,   232500 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Citroen C3                    ",2008,   119000 Kms. · Quito                 ,"
                         9.000
                        "
"
                        Zotye Z100                    ",2018,   48000 Kms. · Quito                 ,"
                         9.000
                        "
"
                        Toyota NEW RAV4 2.5                    ",2001,   198000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Toyota Fortuner 2.7                    ",2010,   215515 Kms. · Quito                 ,"
                         24.600
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2012,   152626 Kms. · Quito                 ,"
                         13.000
                        "
"
                        Kia Sportage LX                    ",2012,   109000 Kms. · Quito                 ,"
                         15.200
                        "
"
                        Toyota Fortuner 2.7                    ",2014,   214496 Kms. · Quito                 ,"
                         26.600
                        "
"
                        Chevrolet Cruze                    ",2013,   122900 Kms. · Quito                 ,"
                         14.200
                        "
"
                        Ford Ranger CD                    ",2020,   40000 Kms. · Quito                 ,"
                         36.900
                        "
"
                        Ford F150 DC 4X2                    ",2013,   114437 Kms. · Quito                 ,"
                         27.700
                        "
"
                        Toyota 4 Runner Limited                    ",2010,   173325 Kms. · Quito                 ,"
                         42.900
                        "
"
                        Chevrolet Grand Vitara SZ                    ",2015,   70951 Kms. · Quito                 ,"
                         17.300
                        "
"
                        MORRIS GARAGES MG5                    ",2021,   17025 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Soueast DX3                    ",2019,   35466 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Renault LOGAN CROSS INTENS                    ",2022,   14003 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Hyundai Tucson                    ",2018,   40499 Kms. · Quito                 ,"
                         26.300
                        "
"
                        Volkswagen JETTA EUROPA 2.0                    ",2011,   97000 Kms. · Quito                 ,"
                         13.500
                        "
"
                        Jeep Grand Cherokee Overland                    ",2011,   187300 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Great Wall Haval H6                    ",2020,   15000 Kms. · Quito                 ,"
                         20.900
                        "
"
                        Nissan X-Trail Exclusive                    ",2016,   86300 Kms. · Quito                 ,"
                         26.500
                        "
"
                        Chevrolet Spark GT                    ",2022,   26000 Kms. · Quito                 ,"
                         13.400
                        "
"
                        Nissan QASHQAI ADVANCE                    ",2018,   75631 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Daihatsu Terios                    ",2008,   235433 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Nissan Versa                    ",2018,   160771 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Ford Explorer XLT                    ",2015,   173900 Kms. · Quito                 ,"
                         28.900
                        "
"
                        Mercedes Benz SLC 200                    ",2017,   11851 Kms. · Quito                 ,"
                         78.900
                        "
"
                        Great Wall Haval H5                    ",2016,   110265 Kms. · Quito                 ,"
                         15.250
                        "
"
                        Hyundai GRAN I10                    ",2020,   41625 Kms. · Quito                 ,"
                         13.750
                        "
"
                        Chevrolet Aveo                    ",2008,   196106 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Chevrolet Aveo Activo                    ",2008,   196106 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Toyota NEW RAV4 AC 2.0 5P                    ",2020,   33758 Kms. · Quito                 ,"
                         38.300
                        "
"
                        Toyota NEW RAV 4                    ",2020,   33758 Kms. · Quito                 ,"
                         38.300
                        "
"
                        Kia Optima                    ",2015,   80000 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Chevrolet ONIX                    ",2021,   20000 Kms. · Quito                 ,"
                         17.600
                        "
"
                        Volkswagen Polo                    ",2018,   78860 Kms. · Quito                 ,"
                         15.600
                        "
"
                        Mazda 2                    ",2023,   11074 Kms. · Quito                 ,"
                         19.200
                        "
"
                        Nissan Qashqai                    ",2014,   129000 Kms. · Quito                 ,"
                         16.600
                        "
"
                        Suzuki S-Cross                    ",2018,   64934 Kms. · Quito                 ,"
                         18.300
                        "
"
                        Chevrolet Spark GT                    ",2018,   64696 Kms. · Quito                 ,"
                         11.600
                        "
"
                        Toyota Land Cruiser                    ",1989,   323089 Kms. · Quito                 ,"
                         15.800
                        "
"
                        Suzuki Grand Vitara SZ 2.4                    ",2019,   88000 Kms. · Quito                 ,"
                         19.300
                        "
"
                        Honda CR-V                    ",2002,   250000 Kms. · Quito                 ,"
                         9.800
                        "
"
                        Kia Sportage R                    ",2021,   23000 Kms. · Quito                 ,"
                         25.800
                        "
"
                        Nissan X-Terra                    ",2005,   202590 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Great Wall Haval H6                    ",2019,   65862 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Suzuki S-Cross                    ",2019,   55029 Kms. · Quito                 ,"
                         18.900
                        "
"
                        Kia Rio Stylus                    ",2010,   267354 Kms. · Quito                 ,"
                         7.500
                        "
"
                        Great Wall H6                    ",2018,   100959 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Ford Ecosport Titanium                    ",2015,   98500 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Toyota RAV 4                    ",2002,   281600 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Great Wall Haval H3 4X2                    ",2012,   222000 Kms. · Quito                 ,"
                         12.500
                        "
"
                        Mazda CX-3 Full                    ",2019,   47000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Chevrolet Grand Vitara SZ 2.4 4x4                    ",2018,   185000 Kms. · Quito                 ,"
                         18.900
                        "
"
                        Hyundai Ioniq Hybrid                    ",2017,   39000 Kms. · Quito                 ,"
                         17.900
                        "
"
                        Citroen C-ELYSEE                    ",2018,   70000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Hyundai Santa Fe                    ",2014,   160000 Kms. · Quito                 ,"
                         21.500
                        "
"
                        Toyota Prius Hybrido                    ",2019,   33000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Kia Sportage LX                    ",2020,   33000 Kms. · Quito                 ,"
                         29.900
                        "
"
                        Kia Cerato                    ",2018,   58000 Kms. · Quito                 ,"
                         18.500
                        "
"
                        Suzuki Grand Vitara SZ                    ",2018,   73000 Kms. · Quito                 ,"
                         18.800
                        "
"
                        Ford Escape                    ",2014,   141031 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Volkswagen Escarabajo                    ",1958,   31000 Kms. · Quito                 ,"
                         7.500
                        "
"
                        Chevrolet Aveo Activo                    ",2008,   0 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Honda WR-V                    ",2019,   46000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Jeep Compass Limited                    ",2019,   15000 Kms. · Quito                 ,"
                         35.900
                        "
"
                        Ford Escape                    ",2018,   50000 Kms. · Quito                 ,"
                         28.900
                        "
"
                        Chevrolet Apache                    ",1961,   35000 Kms. · Quito                 ,"
                         23.800
                        "
"
                        Porsche Cayenne S Hybrid                    ",2011,   110000 Kms. · Quito                 ,"
                         48.400
                        "
"
                        Volkswagen Tiguan                    ",2018,   102000 Kms. · Quito                 ,"
                         27.800
                        "
"
                        Jeep Compass Trailhawk                    ",2019,   15000 Kms. · Quito                 ,"
                         35.900
                        "
"
                        Honda Pilot                    ",2016,   119000 Kms. · Quito                 ,"
                         35.900
                        "
"
                        Ford F150 DC 4X4                    ",2013,   112000 Kms. · Quito                 ,"
                         32.800
                        "
"
                        Toyota RAV 4                    ",2015,   109000 Kms. · Quito                 ,"
                         24.800
                        "
"
                        BMW 320i                    ",2013,   85000 Kms. · Quito                 ,"
                         32.800
                        "
"
                        BMW Z4                    ",2006,   98000 Kms. · Quito                 ,"
                         49.800
                        "
"
                        Toyota RAV 4                    ",2007,   295000 Kms. · Quito                 ,"
                         13.600
                        "
"
                        GMC 1500                    ",1979,   300000 Kms. · Quito                 ,"
                         8.800
                        "
"
                        Ford F150 Lariat                    ",2016,   97000 Kms. · Quito                 ,"
                         59.500
                        "
"
                        Kia SPORTAGE R GTI                    ",2017,   57000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Kia SPORTAGE GT LINE AT                    ",2017,   54000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Ford Fusion                    ",2015,   125000 Kms. · Quito                 ,"
                         17.200
                        "
"
                        Toyota RAV 4                    ",2020,   33758 Kms. · Quito                 ,"
                         38.900
                        "
"
                        Mazda CX-3 Full                    ",2018,   118851 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Mazda CX-3                    ",2018,   118851 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Volkswagen Tiguan                    ",2018,   53553 Kms. · Quito                 ,"
                         30.400
                        "
"
                        Chevrolet Trailblazer                    ",2015,   143221 Kms. · Quito                 ,"
                         32.500
                        "
"
                        Chevrolet LUV Dmax CD                    ",2016,   285500 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Toyota Land Cruiser Prado TX                    ",2018,   32000 Kms. · Quito                 ,"
                         74.900
                        "
"
                        Toyota Prius                    ",2011,   150941 Kms. · Quito                 ,"
                         12.800
                        "
"
                        Hyundai Creta                    ",2019,   71000 Kms. · Quito                 ,"
                         21.500
                        "
"
                        Suzuki Grand Vitara SZ V6                    ",2009,   182608 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Ford F150 4X4                    ",2016,   95687 Kms. · Quito                 ,"
                         54.900
                        "
"
                        Mitsubishi Outlander                    ",2017,   54101 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Nissan Frontier                    ",2018,   102082 Kms. · Quito                 ,"
                         35.500
                        "
"
                        Nissan NP300                    ",2018,   102082 Kms. · Quito                 ,"
                         35.500
                        "
"
                        Nissan Pick Up CD                    ",2018,   102082 Kms. · Quito                 ,"
                         35.500
                        "
"
                        Chevrolet Sail                    ",2022,   21000 Kms. · Quito                 ,"
                         15.400
                        "
"
                        Nissan X-Trail Sense                    ",2018,   64000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Hyundai Santa Fe                    ",2008,   212218 Kms. · Quito                 ,"
                         12.800
                        "
"
                        Ford F150 4X4                    ",2010,   192627 Kms. · Quito                 ,"
                         14.800
                        "
"
                        Kia Sorento                    ",2015,   169000 Kms. · Quito                 ,"
                         21.490
                        "
"
                        Suzuki S-Cross                    ",2018,   63 Kms. · Quito                 ,"
                         19.000
                        "
"
                        Hyundai TUCSON TL                    ",2019,   64000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Renault Duster 2.0                    ",2015,   85000 Kms. · Quito                 ,"
                         15.800
                        "
"
                        Chevrolet Spark                    ",2012,   150000 Kms. · Quito                 ,"
                         7.400
                        "
"
                        Volkswagen Jetta                    ",2008,   99850 Kms. · Quito                 ,"
                         11.200
                        "
"
                        Volkswagen Jetta Trendline TA                    ",2008,   99850 Kms. · Quito                 ,"
                         11.200
                        "
"
                        Volkswagen JETTA EUROPA 2.0                    ",2008,   99850 Kms. · Quito                 ,"
                         11.200
                        "
"
                        Ford Expedition                    ",2019,   72300 Kms. · Quito                 ,"
                         75.990
                        "
"
                        Porsche Cayenne                    ",2013,   136324 Kms. · Quito                 ,"
                         49.900
                        "
"
                        Kia SPORTAGE GT LINE AT                    ",2019,   69838 Kms. · Quito                 ,"
                         27.400
                        "
"
                        Chevrolet Aveo Emotion GLS                    ",2013,   151000 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Ford F150                    ",2012,   177778 Kms. · Quito                 ,"
                         20.500
                        "
"
                        Kia Sportage R                    ",2019,   69838 Kms. · Quito                 ,"
                         27.400
                        "
"
                        Chevrolet Aveo Family                    ",2019,   84142 Kms. · Quito                 ,"
                         11.800
                        "
"
                        Chevrolet Aveo                    ",2019,   84142 Kms. · Quito                 ,"
                         11.800
                        "
"
                        Kia Sportage                    ",2019,   69838 Kms. · Quito                 ,"
                         27.400
                        "
"
                        Lexus RX 450 Hibrido                    ",2010,   120000 Kms. · Quito                 ,"
                         22.400
                        "
"
                        Volkswagen Scirocco                    ",1979,   300 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Kia SPORTAGE R GTI                    ",2019,   69838 Kms. · Quito                 ,"
                         27.400
                        "
"
                        Nissan Pathfinder                    ",2019,   71327 Kms. · Quito                 ,"
                         46.500
                        "
"
                        Chevrolet Tahoe                    ",2018,   73478 Kms. · Quito                 ,"
                         73.800
                        "
"
                        Chevrolet Grand Vitara SZ 2.4                    ",2018,   92365 Kms. · Quito                 ,"
                         18.900
                        "
"
                        Volkswagen Passat                    ",2002,   111846 Kms. · Quito                 ,"
                         9.700
                        "
"
                        Volkswagen PASSAT ADVANCE                    ",2002,   111846 Kms. · Quito                 ,"
                         9.700
                        "
"
                        Ford Bronco                    ",2021,   26000 Kms. · Quito                 ,"
                         56.900
                        "
"
                        JAC S2                    ",2021,   84233 Kms. · Quito                 ,"
                         15.800
                        "
"
                        DongFeng RICH                    ",2022,   23529 Kms. · Quito                 ,"
                         22.400
                        "
"
                        Mitsubishi Eclipse Cross                    ",2020,   34000 Kms. · Quito                 ,"
                         26.800
                        "
"
                        Can-Am Maverick X3                    ",2018,   0 Kms. · Quito                 ,"
                         37.000
                        "
"
                        Toyota Land Cruiser                    ",1997,   414935 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Can-Am Maverick X3                    ",2020,   0 Kms. · Quito                 ,"
                         45.000
                        "
"
                        Chevrolet Trailblazer                    ",2004,   309 Kms. · Quito                 ,"
                         11.500
                        "
"
                        Mazda CX-9                    ",2020,   40616 Kms. · Quito                 ,"
                         53.900
                        "
"
                        Chevrolet Spark                    ",2022,   26100 Kms. · Quito                 ,"
                         12.700
                        "
"
                        Chevrolet Spark GT                    ",2022,   26100 Kms. · Quito                 ,"
                         12.700
                        "
"
                        Ford F150 XLT CD                    ",2015,   121000 Kms. · Quito                 ,"
                         34.900
                        "
"
                        Mitsubishi Montero 5P                    ",2001,   265000 Kms. · Quito                 ,"
                         11.800
                        "
"
                        Jetour X70 COUPE                    ",2022,   8000 Kms. · Quito                 ,"
                         31.900
                        "
"
                        Nissan Versa                    ",2015,   13000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Chery Tiggo 3                    ",2017,   101000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Ford F150 4X4                    ",2018,   80000 Kms. · Quito                 ,"
                         52.900
                        "
"
                        Ford F150 XLT CD                    ",2018,   80000 Kms. · Quito                 ,"
                         52.900
                        "
"
                        Chevrolet Cruze                    ",2014,   103964 Kms. · Quito                 ,"
                         13.700
                        "
"
                        Ford Ranger                    ",2020,   46643 Kms. · Quito                 ,"
                         36.400
                        "
"
                        Mitsubishi Outlander                    ",2018,   108075 Kms. · Quito                 ,"
                         25.500
                        "
"
                        Mitsubishi Outlander Sport                    ",2018,   108075 Kms. · Quito                 ,"
                         25.500
                        "
"
                        Kia Sportage Europa                    ",2020,   41700 Kms. · Quito                 ,"
                         28.400
                        "
"
                        Volkswagen Gol Plus                    ",2015,   105835 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Ram Ram 2500 Laramie Crew                    ",2017,   84000 Kms. · Quito                 ,"
                         62.500
                        "
"
                        Chevrolet Tracker LS                    ",2019,   42500 Kms. · Quito                 ,"
                         20.000
                        "
"
                        Mazda CX-3 ENTRY                    ",2023,   53 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Hyundai Grand Santa Fe                    ",2015,   1010000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Hyundai Accent New                    ",2015,   162033 Kms. · Quito                 ,"
                         13.800
                        "
"
                        Mazda 2                    ",2020,   29356 Kms. · Quito                 ,"
                         17.300
                        "
"
                        Ford Explorer                    ",2016,   101238 Kms. · Quito                 ,"
                         40.800
                        "
"
                        Kia Sportage GT                    ",2020,   50000 Kms. · Quito                 ,"
                         29.900
                        "
