name,model,version,year,km,city,province,price
Suzuki,Forsa,I,2010,200000 km, Duran | ,Guayas,u$s14.000
Hyundai,Santa Fe,2.4L 5P,2014,140000 km,Quito | ,Pichincha,u$s22.000
Great Wall,Wingle 5,2.2L C/D,2018,106000 km,Guayaquil | ,Guayas,u$s14.500
Great Wall,H6,1.5L Turbo,2018,87400 km,Rumiñahui | ,Pichincha,u$s15.500
Volkswagen,Gol,1.6L Power,2012,83278 km,Machala | ,El Oro,u$s12.200
Hyundai,Santa Fe,5 Pas 2.4 4x2 Aut,2014,143000 km,Manta | ,Manabí,u$s22.000
Mazda,2600,"Chasis 4x4 V6,2.6i S 2 3",1997,280000 km,Portoviejo | ,Manabí,u$s7.500
Peugeot,301,1.6L Active,2018,52000 km,Quito | ,Pichincha,u$s15.000
Nissan,Pathfinder,SE WIDE,2006,255000 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s16.700
Mitsubishi,Montero,Glx Status 4p,1994,245000 km,Quito | ,Pichincha,u$s9.800
Nissan,Patrol,GRX,1993,250000 km,Loja | ,Loja,u$s6.200
Nissan,Tiida Sedan,Sense,2013,140000 km,Quito | ,Pichincha,u$s11.300
Kia,Soluto,1.4L X cite,2021,10400 km,General Antonio Elizalde (Bucay) | ,Guayas,u$s16.500
Volkswagen,Voyage,1.6 Comfortline,2015,115000 km,Guayaquil | ,Guayas,u$s12.000
Toyota,Yaris,1.3,2006,183000 km, Sigsig | ,Azuay,u$s10.000
Kia,Gran Carnival,3.3L R Aut,2016,86000 km,Rumiñahui | ,Pichincha,u$s28.000
Nissan,Sentra,Clasico,2011,210000 km,Quito | ,Pichincha,u$s9.000
Great Wall,H5,Full,2013,116500 km,Loja | ,Loja,u$s12.400
Volkswagen,Jetta,2.0L Trendline,2007,252333 km,Rumiñahui | ,Pichincha,u$s9.250
Soueast,DX7,1.5L,2019,56976 km,Quito | ,Pichincha,u$s18.799
Ford,Explorer,"Xlt 4x2 V6,4.0i,12v A 1 2",2007,182000 km,Guayaquil | ,Guayas,u$s14.000
Toyota,Rav4,2.0L 4x2,2015,66000 km,Quito | ,Pichincha,u$s25.000
Honda,Civic,Crx,2008,145000 km,Guayaquil | ,Guayas,u$s11.000
BMW,Serie 3,330i Sport Line,2011,51400 km,Quito | ,Pichincha,u$s37.000
